event_id,source_rank,source_url,source_domain,source_track,source_ref
pevt_001293,1,https://projects.worldbank.org/en/projects-operations/project-detail/P158091,projects.worldbank.org,external_direct,wb_project:P158091|P163181
pevt_001293,2,https://projects.worldbank.org/en/projects-operations/project-detail/P163181,projects.worldbank.org,external_direct,wb_project:P158091|P163181
pevt_001294,1,https://projects.worldbank.org/en/projects-operations/project-detail/P174436,projects.worldbank.org,external_direct,wb_project:P174436
pevt_001295,1,https://projects.worldbank.org/en/projects-operations/project-detail/P172348,projects.worldbank.org,external_direct,wb_project_regional:P172348|P174285
pevt_001295,2,https://projects.worldbank.org/en/projects-operations/project-detail/P174285,projects.worldbank.org,external_direct,wb_project_regional:P172348|P174285
pevt_001296,1,https://projects.worldbank.org/en/projects-operations/project-detail/P176114,projects.worldbank.org,external_direct,wb_project:P176114
pevt_001297,1,https://projects.worldbank.org/en/projects-operations/project-detail/P171050,projects.worldbank.org,external_direct,wb_project:P171050
pevt_001298,1,https://projects.worldbank.org/en/projects-operations/project-detail/P175895,projects.worldbank.org,external_direct,wb_project:P175895|P177931
pevt_001298,2,https://projects.worldbank.org/en/projects-operations/project-detail/P177931,projects.worldbank.org,external_direct,wb_project:P175895|P177931
pevt_001299,1,https://projects.worldbank.org/en/projects-operations/project-detail/P178946,projects.worldbank.org,external_direct,wb_project:P178946
pevt_001300,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179875,projects.worldbank.org,external_direct,wb_project:P179875|P180453
pevt_001300,2,https://projects.worldbank.org/en/projects-operations/project-detail/P180453,projects.worldbank.org,external_direct,wb_project:P179875|P180453
pevt_001301,1,https://projects.worldbank.org/en/projects-operations/project-detail/P181218,projects.worldbank.org,external_direct,wb_project_regional:P181218|P181219
pevt_001301,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181219,projects.worldbank.org,external_direct,wb_project_regional:P181218|P181219
pevt_001302,1,https://projects.worldbank.org/en/projects-operations/project-detail/P180732,projects.worldbank.org,external_direct,wb_project_regional:P180732|P181346
pevt_001302,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181346,projects.worldbank.org,external_direct,wb_project_regional:P180732|P181346
pevt_001303,1,https://projects.worldbank.org/en/projects-operations/project-detail/P181081,projects.worldbank.org,external_direct,wb_project:P181081|P181141|P181200|P181514
pevt_001303,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181141,projects.worldbank.org,external_direct,wb_project:P181081|P181141|P181200|P181514
pevt_001303,3,https://projects.worldbank.org/en/projects-operations/project-detail/P181200,projects.worldbank.org,external_direct,wb_project:P181081|P181141|P181200|P181514
pevt_001303,4,https://projects.worldbank.org/en/projects-operations/project-detail/P181514,projects.worldbank.org,external_direct,wb_project:P181081|P181141|P181200|P181514
pevt_001304,1,https://projects.worldbank.org/en/projects-operations/project-detail/P504773,projects.worldbank.org,external_direct,wb_project:P504773|P506476
pevt_001304,2,https://projects.worldbank.org/en/projects-operations/project-detail/P506476,projects.worldbank.org,external_direct,wb_project:P504773|P506476
pevt_001305,1,https://projects.worldbank.org/en/projects-operations/project-detail/P504171,projects.worldbank.org,external_direct,wb_project:P504171|P505616|P506463
pevt_001305,2,https://projects.worldbank.org/en/projects-operations/project-detail/P505616,projects.worldbank.org,external_direct,wb_project:P504171|P505616|P506463
pevt_001305,3,https://projects.worldbank.org/en/projects-operations/project-detail/P506463,projects.worldbank.org,external_direct,wb_project:P504171|P505616|P506463
pevt_001306,1,https://projects.worldbank.org/en/projects-operations/project-detail/P172392,projects.worldbank.org,external_direct,wb_project:P172392|P180332
pevt_001306,2,https://projects.worldbank.org/en/projects-operations/project-detail/P180332,projects.worldbank.org,external_direct,wb_project:P172392|P180332
pevt_001307,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163444,projects.worldbank.org,external_direct,wb_project:P163444
pevt_001308,1,https://projects.worldbank.org/en/projects-operations/project-detail/P162110,projects.worldbank.org,external_direct,wb_project:P162110
pevt_001309,1,https://projects.worldbank.org/en/projects-operations/project-detail/P172796,projects.worldbank.org,external_direct,wb_project:P172796
pevt_001310,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179367,projects.worldbank.org,external_direct,wb_project:P179367
pevt_001311,1,https://data.worldbank.org/indicator,data.worldbank.org,objective_macro,objective_macro_rule:wb_structural_break@2017;score=1.9962;vars=IT.NET.USER.ZS|NE.GDI.FTOT.ZS|NY.GDP.PCAP.CD|FP.CPI.TOTL.ZG
pevt_001312,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,external_direct,wb_project_regional:P145634|P146328|P146334
pevt_001312,2,https://projects.worldbank.org/en/projects-operations/project-detail/P146328,projects.worldbank.org,external_direct,wb_project_regional:P145634|P146328|P146334
pevt_001312,3,https://projects.worldbank.org/en/projects-operations/project-detail/P146334,projects.worldbank.org,external_direct,wb_project_regional:P145634|P146328|P146334
pevt_001313,1,https://projects.worldbank.org/en/projects-operations/project-detail/P153613,projects.worldbank.org,external_direct,wb_project:P153613
pevt_001314,1,https://projects.worldbank.org/en/projects-operations/project-detail/P149610,projects.worldbank.org,external_direct,wb_project:P149610
pevt_001315,1,https://projects.worldbank.org/en/projects-operations/project-detail/P127486,projects.worldbank.org,external_direct,wb_project_regional:P127486|P146206|P155689|P163592
pevt_001315,2,https://projects.worldbank.org/en/projects-operations/project-detail/P146206,projects.worldbank.org,external_direct,wb_project_regional:P127486|P146206|P155689|P163592
pevt_001315,3,https://projects.worldbank.org/en/projects-operations/project-detail/P155689,projects.worldbank.org,external_direct,wb_project_regional:P127486|P146206|P155689|P163592
pevt_001315,4,https://projects.worldbank.org/en/projects-operations/project-detail/P163592,projects.worldbank.org,external_direct,wb_project_regional:P127486|P146206|P155689|P163592
pevt_001316,1,https://projects.worldbank.org/en/projects-operations/project-detail/P168280,projects.worldbank.org,external_direct,wb_project:P168280
pevt_001317,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166305,projects.worldbank.org,external_direct,wb_project:P166305
pevt_001318,1,https://projects.worldbank.org/en/projects-operations/project-detail/P168180,projects.worldbank.org,external_direct,wb_project:P168180|P168233
